VOLUME,MAX_SPHERE,EQ_SPHERE,MIN_AXIS,MAX_AXIS,SPHERICITY,ASPECT_RATIO,Extent
3.751487500e+04,3.620400530e+02,4.153379616e+01,5.000000000e-01,5.000000000e-01,8.716758074e+00,1.000000000e+00,3.001190000e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.105052145e+00,0.000000000e+00,4.524673357e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.055829931e+00,0.000000000e+00,4.735611157e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.055829931e+00,4.126699402e+02,4.735611157e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.056661831e+00,0.000000000e+00,4.731882856e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.056661831e+00,1.611991954e+00,4.731882856e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.056661831e+00,0.000000000e+00,4.731882856e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.056661831e+00,0.000000000e+00,4.731882856e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.056661831e+00,0.000000000e+00,4.731882856e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.056661831e+00,4.126699402e+02,4.731882856e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.056661831e+00,4.126730886e+02,4.731882856e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.056011249e+00,0.000000000e+00,4.734798047e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,5.000000000e-01,0.000000000e+00,1.000000000e+00,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.002956121e+00,0.000000000e+00,4.985262961e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,5.000000000e-01,1.611991954e+00,1.000000000e+00,1.000000000e+00
