VOLUME,MAX_SPHERE,EQ_SPHERE,MIN_AXIS,MAX_AXIS,SPHERICITY,ASPECT_RATIO,Extent
1.012253250e+06,3.620414341e+02,1.245747963e+02,5.000000000e-01,5.000000000e-01,2.906217347e+00,1.000000000e+00,2.999268889e-01
2.500000000e-01,2.560019531e+02,7.815926418e-01,5.000000000e-01,1.251359024e+00,3.275388475e+02,3.995655845e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,1.611991954e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.107322815e+00,0.000000000e+00,4.515395087e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.107322815e+00,4.126730886e+02,4.515395087e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.050486421e+00,0.000000000e+00,4.759699794e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.050486421e+00,4.126730886e+02,4.759699794e-01,1.000000000e+00
