VOLUME,MAX_SPHERE,EQ_SPHERE,MIN_AXIS,MAX_AXIS,SPHERICITY,ASPECT_RATIO,Extent
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.003260816e+00,4.126730886e+02,4.983748911e-01,1.000000000e+00
3.750000000e-01,2.560019531e+02,8.947002289e-01,5.000000000e-01,1.161643651e+00,2.861315386e+02,4.304245966e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.010178589e+00,0.000000000e+00,4.949619852e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.010178589e+00,4.126699402e+02,4.949619852e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.010178589e+00,4.126699402e+02,4.949619852e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.083472118e+00,0.000000000e+00,4.614793420e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.083472118e+00,0.000000000e+00,4.614793420e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.083472118e+00,1.611991954e+00,4.614793420e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.083472118e+00,4.126730886e+02,4.614793420e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.015410198e+00,1.611991954e+00,4.924118360e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.015410198e+00,0.000000000e+00,4.924118360e-01,1.000000000e+00
2.500000000e-01,1.000000000e+00,7.815926418e-01,5.000000000e-01,1.180754954e+00,1.279438862e+00,4.234578888e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.015410198e+00,1.611991954e+00,4.924118360e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.015410198e+00,0.000000000e+00,4.924118360e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.015410198e+00,0.000000000e+00,4.924118360e-01,1.000000000e+00
2.500000000e-01,2.560000000e+02,7.815926418e-01,5.000000000e-01,1.015410198e+00,3.275363486e+02,4.924118360e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053783755e+00,0.000000000e+00,4.744806488e-01,1.000000000e+00
2.500000000e-01,1.000000000e+00,7.815926418e-01,5.000000000e-01,5.000000000e-01,1.279438862e+00,1.000000000e+00,5.000000000e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053783755e+00,0.000000000e+00,4.744806488e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053783755e+00,0.000000000e+00,4.744806488e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053783755e+00,0.000000000e+00,4.744806488e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053783755e+00,0.000000000e+00,4.744806488e-01,1.000000000e+00
2.500000000e-01,1.000000000e+00,7.815926418e-01,5.000000000e-01,1.195986055e+00,1.279438862e+00,4.180650751e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.053783755e+00,4.126699402e+02,4.744806488e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.053783755e+00,4.126699402e+02,4.744806488e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.079045704e+00,1.611991954e+00,4.633724022e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.079045704e+00,4.126699402e+02,4.633724022e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.028708416e+00,4.126699402e+02,4.860463782e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.018723959e+00,0.000000000e+00,4.908100919e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.018723959e+00,0.000000000e+00,4.908100919e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.018723959e+00,0.000000000e+00,4.908100919e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.018723959e+00,0.000000000e+00,4.908100919e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.018723959e+00,4.126699402e+02,4.908100919e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.018723959e+00,1.611991954e+00,4.908100919e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.018723959e+00,0.000000000e+00,4.908100919e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.018723959e+00,0.000000000e+00,4.908100919e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.018723959e+00,4.126699402e+02,4.908100919e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.060284477e+00,1.611991954e+00,4.715715555e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.060284477e+00,0.000000000e+00,4.715715555e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,5.000000000e-01,0.000000000e+00,1.000000000e+00,5.000000000e-01
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.060284477e+00,1.611991954e+00,4.715715555e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.060284477e+00,0.000000000e+00,4.715715555e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.060284477e+00,0.000000000e+00,4.715715555e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.060284477e+00,0.000000000e+00,4.715715555e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.223432649e+00,0.000000000e+00,4.086861672e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.060284477e+00,4.126699402e+02,4.715715555e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.059338583e+00,0.000000000e+00,4.719926264e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.059338583e+00,0.000000000e+00,4.719926264e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.059338583e+00,0.000000000e+00,4.719926264e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.059338583e+00,0.000000000e+00,4.719926264e-01,1.000000000e+00
5.000000000e-01,2.560000000e+02,9.847450218e-01,5.000000000e-01,5.000000000e-01,2.599657722e+02,1.000000000e+00,4.444444444e-01
2.500000000e-01,1.000000000e+00,7.815926418e-01,5.000000000e-01,1.339734934e+00,1.279438862e+00,3.732081527e-01,5.000000000e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053606979e+00,0.000000000e+00,4.745602583e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053606979e+00,0.000000000e+00,4.745602583e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053606979e+00,0.000000000e+00,4.745602583e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.163901535e+00,0.000000000e+00,4.295896043e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.053606979e+00,1.611991954e+00,4.745602583e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.053606979e+00,0.000000000e+00,4.745602583e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.053606979e+00,1.611991954e+00,4.745602583e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.053606979e+00,4.126699402e+02,4.745602583e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,5.000000000e-01,1.611991954e+00,1.000000000e+00,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,5.000000000e-01,4.126699402e+02,1.000000000e+00,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.047386700e+00,1.611991954e+00,4.773786033e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.047386700e+00,0.000000000e+00,4.773786033e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.047386700e+00,0.000000000e+00,4.773786033e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.047386700e+00,0.000000000e+00,4.773786033e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.047386700e+00,1.611991954e+00,4.773786033e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.047386700e+00,4.126699402e+02,4.773786033e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.148098479e+00,0.000000000e+00,4.355027108e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.047386700e+00,4.126699402e+02,4.773786033e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.001614201e+00,0.000000000e+00,4.991942003e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.239698141e+00,0.000000000e+00,4.033239896e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.001614201e+00,4.126699402e+02,4.991942003e-01,1.000000000e+00
